"","Subject","Activity","Mean - tBodyAcc-mean()-X","Mean - tBodyAcc-std()-X","Mean - tBodyAcc-mean()-Y","Mean - tBodyAcc-std()-Y","Mean - tBodyAcc-mean()-Z","Mean - tBodyAcc-std()-Z","Mean - tGravityAcc-mean()-X","Mean - tGravityAcc-std()-X","Mean - tGravityAcc-mean()-Y","Mean - tGravityAcc-std()-Y","Mean - tGravityAcc-mean()-Z","Mean - tGravityAcc-std()-Z","Mean - tBodyAccJerk-mean()-X","Mean - tBodyAccJerk-std()-X","Mean - tBodyAccJerk-mean()-Y","Mean - tBodyAccJerk-std()-Y","Mean - tBodyAccJerk-mean()-Z","Mean - tBodyAccJerk-std()-Z","Mean - tBodyGyro-mean()-X","Mean - tBodyGyro-std()-X","Mean - tBodyGyro-mean()-Y","Mean - tBodyGyro-std()-Y","Mean - tBodyGyro-mean()-Z","Mean - tBodyGyro-std()-Z","Mean - tBodyGyroJerk-mean()-X","Mean - tBodyGyroJerk-std()-X","Mean - tBodyGyroJerk-mean()-Y","Mean - tBodyGyroJerk-std()-Y","Mean - tBodyGyroJerk-mean()-Z","Mean - tBodyGyroJerk-std()-Z","Mean - tBodyAccMag-mean()","Mean - tBodyAccMag-std()","Mean - tGravityAccMag-mean()","Mean - tGravityAccMag-std()","Mean - tBodyAccJerkMag-mean()","Mean - tBodyAccJerkMag-std()","Mean - tBodyGyroMag-mean()","Mean - tBodyGyroMag-std()","Mean - tBodyGyroJerkMag-mean()","Mean - tBodyGyroJerkMag-std()","Mean - fBodyAcc-mean()-X","Mean - fBodyAcc-std()-X","Mean - fBodyAcc-mean()-Y","Mean - fBodyAcc-std()-Y","Mean - fBodyAcc-mean()-Z","Mean - fBodyAcc-std()-Z","Mean - fBodyAccJerk-mean()-X","Mean - fBodyAccJerk-std()-X","Mean - fBodyAccJerk-mean()-Y","Mean - fBodyAccJerk-std()-Y","Mean - fBodyAccJerk-mean()-Z","Mean - fBodyAccJerk-std()-Z","Mean - fBodyGyro-mean()-X","Mean - fBodyGyro-std()-X","Mean - fBodyGyro-mean()-Y","Mean - fBodyGyro-std()-Y","Mean - fBodyGyro-mean()-Z","Mean - fBodyGyro-std()-Z","Mean - fBodyAccMag-mean()","Mean - fBodyAccMag-std()","Mean - fBodyBodyAccJerkMag-mean()","Mean - fBodyBodyAccJerkMag-std()","Mean - fBodyBodyGyroMag-mean()","Mean - fBodyBodyGyroMag-std()","Mean - fBodyBodyGyroJerkMag-mean()","Mean - fBodyBodyGyroJerkMag-std()"
"1","1","Walking",-0.111148103547368,0.0620301284304813,-0.283740258842105,0.0716512842459936,0.114461336747368,0.0869063304484361,-0.068102864,0.0446498006525058,-0.976609642526316,0.013859641118395,-0.971305961473684,0.0185356307478457,-0.00416840617789474,0.0654666114033403,-0.113615602435789,0.0822724604731188,0.0670025007684211,0.105683044196247,0.0849448173042105,0.05234188186092,-0.473535485894737,0.0627577131805598,-0.0546077686594737,0.0811643903237947,-0.0461309295021053,0.0625350967913019,-0.207421854757895,0.0721769839867218,-0.304468510631579,0.0919685177633125,-0.297425837894737,0.0886657351245867,-0.297425837894737,0.0886657351245867,-0.128696365431579,0.157584643962399,-0.0623623725688421,0.0693706620583055,-0.361842899578947,0.127607637265665,-0.331560117789474,0.0666827806208189,-0.319134719578947,0.0737345327773318,0.056040006846,0.10247946039837,-0.468999224631579,0.0730309432982119,-0.133586606326316,0.112930233593745,0.106739857136,0.106326770635696,-0.255940940315789,0.0490663874324954,-0.516691938736842,0.0793659050312808,-0.0335081597884211,0.075481857521112,-0.241281905494737,0.0452446408396183,-0.0427393448347368,0.131280495389936,-0.278570637421053,0.0923746241381835,-0.3289896264,0.109982416341009
"31","1","Walking_Upstairs",-0.0973020020943396,0.0500333179018807,-0.35470802509434,0.0575923104151308,-0.00232026501698113,0.102200216828621,-0.075402939754717,0.0324896692585324,-0.956367027924528,0.0293905041827772,-0.952849233207547,0.0402764591559425,-0.0455625449113208,0.0353955305513586,-0.446843887735849,0.0642741086702444,-0.378274426037736,0.0758471335799667,0.0583595463981132,0.100849532649937,-0.544871104528302,0.182641142056289,0.00410518379811321,0.0897644259770808,-0.0407125527654717,0.0499154582455537,-0.614786508490566,0.0530077673780467,-0.601696656226415,0.0565725423081312,-0.388241179056604,0.0870436527799005,-0.388241179056604,0.0870436527799005,-0.520923938490566,0.106980567370703,-0.0405582347754717,0.141062881203384,-0.664196540943396,0.0518178593024987,-0.433349702075472,0.0587118843997524,-0.337428188679245,0.062192560616403,0.0217695106566038,0.110473927279318,-0.685474353962264,0.0377362821202332,-0.461907025849057,0.0757467305691841,-0.381777065283019,0.0897679108679419,-0.453597213018868,0.0982085105001155,-0.565892490754717,0.145464101779479,0.151538905566038,0.0861414799820235,-0.326593149433962,0.0871442462308478,-0.447195782641509,0.0926721030281441,-0.163203648528302,0.153920049507243,-0.640844403773585,0.0658826055438035
"61","1","Walking_Downstairs",-0.107566190908163,0.0844507786909177,0.0300353383483878,0.10145702450212,-0.0319359434489796,0.13342022229808,-0.0621199585938775,0.0392019249925292,-0.950559811632653,0.0249072167188324,-0.937018658979592,0.0339600902147589,-0.0109719730183673,0.111065793215343,-0.012283860544898,0.109895636330036,-0.101601390640816,0.136755577206698,0.0900850142030612,0.0952021564737799,-0.458030542938775,0.212278452428512,-0.126349194938775,0.0965617624520861,-0.0270461061061224,0.0981257158530943,-0.487027342244898,0.0929119106941539,-0.238824827530612,0.112316900309071,-0.100138189163265,0.132284281218642,-0.100138189163265,0.132284281218642,-0.0611410651081633,0.177855000846718,-0.15534898355102,0.158152019682949,-0.371624305102041,0.237593180737515,-0.225574471693878,0.0723421185708391,0.0243308391387755,0.109524799580095,-0.112963739953061,0.185405383940731,-0.288334735714286,0.0998658280371304,-0.0863278966402041,0.110627037878114,-0.134580008877551,0.148692459462892,-0.0318694271979592,0.0834934819677785,-0.495422486102041,0.190891668226669,-0.181414728657143,0.106257477806143,0.0152399808897959,0.110558151583785,-0.00400138552857143,0.179364284401146,-0.319220852120408,0.162327328804054,-0.297770357755102,0.145268320629249
"91","1","Sitting",-0.104544182255319,0.138360678594562,-0.977229008297872,0.0467083231742437,-0.922618641914894,0.160547237966405,0.332043702765957,0.11922465321138,-0.968457145744681,0.0721961262013819,-0.935517055957447,0.136323811112058,-0.00336779235021277,0.0192855192609476,-0.986430711276596,0.0241347460958001,-0.981371965319149,0.0265270023682747,0.0629313811914894,0.102463356368492,-0.977211283191489,0.0420948745317812,-0.966473895319149,0.0815904759526414,-0.046702627,0.0296521364534214,-0.99173159212766,0.0185309533850505,-0.989518068510638,0.0194848903865213,-0.931385653829787,0.118984558788303,-0.931385653829787,0.118984558788303,-0.984524617234042,0.0304784065003382,-0.923507247021277,0.0833226558888002,-0.98872534787234,0.0258856443694756,-0.959184889148936,0.150284254131327,-0.976412313191489,0.0479495378041775,-0.917275006382979,0.112085351371329,-0.986053092340425,0.018362591849997,-0.987492994468085,0.0285328785413379,-0.982513909574468,0.0298790575579568,-0.951315544468085,0.100243986911749,-0.977904227021277,0.0560835259639133,-0.962345042553192,0.082493643833654,-0.939136316808511,0.160459378782604,-0.98261972212766,0.0451917789810468,-0.946413250212766,0.173833211797003,-0.987988369361702,0.0430727426299111
"121","1","Standing",-0.110601817735849,0.0274481084909406,-0.995759901509434,0.0052682099790311,-0.973190056415094,0.040827244681619,0.0134905823226415,0.034253361354175,-0.99376298509434,0.0136937936834759,-0.981225957924528,0.0367879536682803,-0.00368524954709434,0.00326932508283739,-0.994604542264151,0.00250178817535683,-0.98564873245283,0.00750999508916096,0.074800751,0.0240492537828287,-0.987191946603774,0.00917258439998648,-0.98773444,0.0132682283099574,-0.0489505466716981,0.00704788101773433,-0.992945106981132,0.00401738420106324,-0.995137917358491,0.00355483847355128,-0.982814583962264,0.0217536297897424,-0.982814583962264,0.0217536297897424,-0.993592896981132,0.00567337528454655,-0.975841133584906,0.0228923933173254,-0.995280235660377,0.00638551062861322,-0.985297098679245,0.0315309907696867,-0.99602834509434,0.00432185913508502,-0.972293102075472,0.0235403050930107,-0.990752166037736,0.00308126634948512,-0.995073759245283,0.00317296143401772,-0.987018226792453,0.00754047301494247,-0.980773122830189,0.0224991647382855,-0.987497128679245,0.0104161745417822,-0.987107727735849,0.0110278492152591,-0.983019467169811,0.0331850471262439,-0.990740053962264,0.00436089257137895,-0.981102759056604,0.0323098429742271,-0.994423714716981,0.00585425635014683
"151","1","Laying",-0.11320355358,0.288552886794704,-0.9280564692,0.116063203113106,-0.83682740562,0.326956676254185,0.4458177198,0.289570966399619,-0.8968300184,0.18788610577041,-0.90772000676,0.224195562702244,0.010834236361,0.0880763225445686,-0.958482112,0.0654247391010023,-0.9241492736,0.137975447957784,0.14868943626,0.13736305008917,-0.87354386782,0.172882550515374,-0.9510904402,0.0753590791366057,-0.0740501211,0.0792540712205832,-0.9186085208,0.115772117224441,-0.9679072436,0.0532737615617161,-0.81016936098,0.29441301470871,-0.81016936098,0.29441301470871,-0.935812144,0.142399458234147,-0.83451699672,0.305927739425072,-0.9481355368,0.138623745770988,-0.8826668762,0.309051085361805,-0.9244374346,0.109278161852454,-0.8336255561,0.304021384208274,-0.9480609042,0.0769552497419572,-0.9641607086,0.0854848889302822,-0.9322178704,0.151792156034702,-0.909302721,0.12460690725965,-0.8822964508,0.292916035018152,-0.9512320494,0.0853012619500392,-0.82709156406,0.32947054569038,-0.9280787516,0.152116792972432,-0.82355384772,0.241810910713961,-0.9298067252,0.129911353646534
"22","2","Walking",-0.105500357966102,0.0434882428774878,-0.423642838474576,0.0534116785672111,-0.0780912533118644,0.0822283943183799,0.0847270871186441,0.0133003334532424,-0.972693201355932,0.0143159987014817,-0.972116879661017,0.0188216727648526,0.00789533706610169,0.0489210072239074,-0.277530462620339,0.093564832315109,-0.0166022362847458,0.137440531352214,0.0828336633220339,0.0502899934639027,-0.561550255762712,0.0566566868070249,-0.53845366779661,0.0429915438902074,-0.0514939156830508,0.125492029439027,-0.389549831525424,0.119181761258874,-0.634140436101695,0.0909410306708008,-0.494211893728814,0.0938784065421732,-0.494211893728814,0.0938784065421732,-0.199696317119492,0.124950995250292,-0.529044591694915,0.079197620757793,-0.580948398983051,0.130572868333507,-0.453806369830508,0.0472602929485306,-0.457651383728814,0.0589001839488438,-0.16921968620339,0.0837781346989868,-0.554956709661017,0.0559496196985009,-0.31431306340678,0.120165782347648,-0.0153329520084746,0.159933954225808,-0.396659907457627,0.0444520070371285,-0.604053019152542,0.0712332454151815,-0.533046952542373,0.0491044337542593,-0.479875862542373,0.0512535419600379,-0.134787572220339,0.177226880942869,-0.586184276610169,0.0532912175358631,-0.549210865423729,0.190610713928673
"52","2","Walking_Upstairs",-0.152513899520833,0.18944945583691,-0.304376406458333,0.0789243580781644,0.108027279889583,0.0803236586559467,-0.195888238891667,0.132276146554202,-0.934407739791667,0.05358628598684,-0.92376745375,0.0688809342175926,0.01948143925,0.10104001615896,-0.276121886479167,0.0978413110572489,-0.185648954220833,0.142282878961552,0.0688374021666667,0.25254364021814,-0.439253058958333,0.136621779682032,-0.466298336666667,0.0744096996474667,-0.0445157481625,0.0641167734829115,-0.464854363125,0.0706773376089247,-0.645491337708333,0.0758387286221597,-0.361505067708333,0.102090810230973,-0.361505067708333,0.102090810230973,-0.313953077666667,0.175644042221907,-0.3131551213125,0.0857651662554016,-0.629021841875,0.0819646354082339,-0.281001986202083,0.194563848648159,-0.320582414375,0.0994554247560081,0.0848802791083333,0.107083874959124,-0.522728063333333,0.106567868808237,-0.365415441458333,0.122933458522855,-0.243554146666667,0.1525234809408,-0.248601122,0.269759136059374,-0.476358845625,0.123998289524005,-0.459758488958333,0.0581006872280495,-0.208576495108333,0.079627109565582,-0.173454664739583,0.119111013442575,-0.416696958541667,0.189848431948104,-0.583401111875,0.085968777261162
"82","2","Walking_Downstairs",-0.116812942382979,0.207527025642952,0.0463666814446808,0.133630616379598,0.262881788951064,0.165300572183285,-0.0438890162723404,0.0341908471004362,-0.940361759574468,0.0319383633234832,-0.940068525531915,0.02704906799046,-0.0209351677765957,0.113893284270363,0.147249143238298,0.171330796097762,0.126828014557447,0.187458002461777,0.097173808906383,0.0808615238919916,-0.320789230008511,0.174269883377263,-0.415739144893617,0.0828955487831571,-0.0710229816893617,0.174087483859382,-0.243940592553192,0.171356519932969,-0.469396701106383,0.14111845281286,0.00163716701340425,0.120565562817064,0.00163716701340425,0.120565562817064,0.172822236068085,0.172575351588965,-0.210738830151064,0.181804340526845,-0.402210274542553,0.272287572413751,-0.131290772,0.227294729563391,0.0161046198595745,0.160457414080248,0.171973972957447,0.183850284682517,-0.271498721106383,0.0984910959966628,0.0499590624829787,0.197622197385643,0.0808333491276596,0.203699660599483,-0.0874944736085106,0.0627788995882153,-0.379436674361702,0.173168606558179,-0.458732747446809,0.108752098252436,0.201758478638298,0.109684153408251,0.242387200234043,0.198602840638345,-0.35818044606383,0.221888190584216,-0.314083602538298,0.238342104646398
"112","2","Sitting",-0.109218272456522,0.0740754031291257,-0.986822279565217,0.028578275069376,-0.950704499130435,0.0914593917265516,0.19872676876087,0.107680740929512,-0.979988760869565,0.0616382562033607,-0.956750273043478,0.104027168111941,0.00760546929869565,0.00829277290991146,-0.988055854130435,0.00892170533863347,-0.977983955434783,0.0112843767361943,0.0412277462173913,0.0420366305972749,-0.985742027826087,0.0173059906293888,-0.978919526956522,0.0123698705704934,-0.04358509665,0.00808481511794375,-0.989709023043478,0.00642668990734758,-0.990889614782609,0.00541271321357481,-0.958719576521739,0.0864642365650415,-0.958719576521739,0.0864642365650415,-0.986893698913043,0.0204469969073893,-0.956461792608696,0.0425023130242758,-0.990721259130435,0.00949395878497438,-0.970162172608696,0.0785119571295474,-0.98736209,0.0298232979257616,-0.950073754130435,0.0671554557294323,-0.985129050217391,0.00717035028433203,-0.989459107391304,0.0113023381539732,-0.980804228478261,0.0116467759024437,-0.959814822391304,0.0393219843350878,-0.986808501521739,0.0148301008576938,-0.977356188695652,0.0117113532163056,-0.957092356956522,0.0998847680127289,-0.980972608913043,0.0121803874032604,-0.966489517608696,0.0559331759312368,-0.989247532391304,0.00899105120093987
